# Tick HealthyCells CancerCells OARCells
0 257 33 0
4 297 41 0
8 347 52 0
12 347 52 0
16 411 61 0
20 409 59 0
24 404 63 0
28 411 74 0
32 414 85 0
36 415 81 0
40 425 94 0
44 426 94 0
48 431 101 0
52 453 124 0
56 474 150 0
60 484 150 0
64 509 176 0
68 517 175 0
72 525 187 0
76 546 226 0
80 575 274 0
84 586 262 0
88 617 290 0
92 622 273 0
96 629 292 0
100 647 339 0
104 664 384 0
108 679 350 0
112 707 343 0
116 703 317 0
120 693 328 0
124 681 361 0
128 693 430 0
132 713 415 0
136 737 430 0
140 753 384 0
144 746 390 0
148 745 437 0
152 776 522 0
156 826 494 0
160 847 523 0
164 890 496 0
168 883 524 0
172 890 576 0
176 924 655 0
180 1017 580 0
184 1022 560 0
188 1115 526 0
192 1110 557 0
196 1112 625 0
200 1165 751 0
204 1305 681 0
208 1308 687 0
212 1452 599 0
216 1445 624 0
220 1440 673 0
224 1480 797 0
228 1681 722 0
232 1681 727 0
236 1831 693 0
240 1838 754 0
244 1829 872 0
248 1883 1091 0
252 2114 1023 0
256 2063 1019 0
260 2108 949 0
264 2099 996 0
268 2033 1117 0
272 2026 1333 0
276 2248 1134 0
280 2216 1051 0
284 2292 979 0
288 2341 1053 0
292 2292 1166 0
296 2250 1368 0
300 2392 1187 0
304 2230 1149 0
308 2202 1066 0
312 2152 1102 0
316 2056 1218 0
320 1925 1484 0
324 1964 1309 0
328 1865 1276 0
332 1844 1195 0
336 1836 1206 0
340 1757 1305 0
344 1706 1491 0
348 1784 1297 0
352 1763 1327 0
356 1812 1263 0
360 1898 1295 0
364 1841 1498 0
368 1785 1766 0
372 1725 1560 0
376 1632 1609 0
380 1623 1507 0
384 1671 1565 0
388 1664 1711 0
392 1638 1983 0
396 1604 1780 0
400 1488 1824 0
