#Tick HealthyCells CancerCells OARCells
0 257 33 0
1 304 41 0
3 304 41 0
4 304 41 0
6 355 50 0
7 355 50 0
9 355 50 0
10 355 50 0
12 355 50 0
13 405 57 0
15 405 56 0
16 405 56 0
18 405 56 0
19 404 56 0
21 400 52 0
22 399 51 0
24 399 59 0
25 405 68 0
27 400 63 0
28 397 61 0
30 409 63 0
31 408 62 0
33 411 58 0
34 411 58 0
36 413 55 0
37 421 66 0
39 433 64 0
40 436 62 0
42 438 60 0
43 441 59 0
45 442 58 0
46 442 58 0
48 446 69 0
49 455 85 0
51 468 83 0
52 469 82 0
54 487 90 0
55 500 89 0
57 506 88 0
58 510 88 0
60 518 88 0
61 530 101 0
63 566 101 0
64 573 101 0
66 583 101 0
67 590 101 0
69 596 100 0
70 596 99 0
72 606 117 0
73 617 143 0
75 652 139 0
76 657 135 0
78 684 159 0
79 712 159 0
81 735 156 0
82 745 155 0
84 765 152 0
85 781 178 0
87 857 174 0
88 878 174 0
90 906 173 0
91 919 171 0
93 938 166 0
94 942 166 0
96 960 191 0
97 974 231 0
99 1032 224 0
100 1051 220 0
102 1084 252 0
103 1124 248 0
105 1191 239 0
106 1204 236 0
108 1243 235 0
109 1263 275 0
111 1385 260 0
112 1445 258 0
114 1506 248 0
115 1533 246 0
117 1574 244 0
118 1582 244 0
120 1605 276 0
121 1627 338 0
123 1711 331 0
124 1752 331 0
126 1801 386 0
127 1855 380 0
129 1991 376 0
130 2023 375 0
132 2072 370 0
133 2104 431 0
135 2230 422 0
136 2337 416 0
138 2449 408 0
139 2476 405 0
141 2528 396 0
142 2539 393 0
144 2548 443 0
145 2560 542 0
147 2589 509 0
148 2629 499 0
150 2673 573 0
