#Tick x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
37 0 0 0 0 0 0 0 4.28593 42.8603 0
37 0 1 0 0 0 0 0 7.70381 77.0407 0
37 0 2 0 0 0 0 0 9.91255 99.1304 0
37 0 3 0 0 0 0 0 11.0882 110.89 0
37 0 4 0 0 0 0 0 11.6122 116.134 0
37 0 5 0 0 0 0 0 11.8106 118.122 0
37 0 6 0 0 0 0 0 11.8752 118.77 0
37 0 7 0 0 0 0 0 11.8934 118.952 0
37 0 8 0 0 0 0 0 11.8978 118.994 0
37 0 9 0 0 0 0 0 11.8987 118.998 0
37 0 10 0 0 0 0 0 11.8987 118.994 0
37 0 11 0 0 0 0 0 11.8984 118.988 0
37 0 12 0 0 0 0 0 11.8973 118.975 0
37 0 13 0 0 0 0 0 11.8927 118.928 0
37 0 14 0 0 0 0 0 11.8745 118.746 0
37 0 15 0 0 0 0 0 11.81 118.101 0
37 0 16 0 0 0 0 0 11.6118 116.12 0
37 0 17 0 0 0 0 0 11.088 110.883 0
37 0 18 0 0 0 0 0 9.9125 99.1287 0
37 0 19 0 0 0 0 0 7.70384 77.0418 0
37 0 20 0 0 0 0 0 4.28597 42.8617 0
37 1 0 0 0 0 0 0 7.70389 77.0432 0
37 1 1 0 0 0 0 0 13.8813 138.824 0
37 1 2 0 0 0 0 0 17.8995 179.019 0
37 1 3 0 0 0 0 0 20.0536 200.578 0
37 1 4 0 0 0 0 0 21.0205 210.27 0
37 1 5 0 0 0 0 0 21.3892 213.979 0
37 1 6 0 0 0 0 0 21.5101 215.204 0
37 1 7 0 0 0 0 0 21.5443 215.547 0
37 1 8 0 0 0 0 0 21.5523 215.613 0
37 1 9 0 0 0 0 0 21.5532 215.6 0
37 1 10 0 0 0 0 0 21.5525 215.568 0
37 1 11 0 0 0 0 0 21.5514 215.537 0
37 1 12 0 0 0 0 0 21.549 215.5 0
37 1 13 0 0 0 0 0 21.5403 215.406 0
37 1 14 0 0 0 0 0 21.506 215.062 0
37 1 15 0 0 0 0 0 21.3857 213.859 0
37 1 16 0 0 0 0 0 21.018 210.184 0
37 1 17 0 0 0 0 0 20.0521 200.526 0
37 1 18 0 0 0 0 0 17.8988 178.994 0
37 1 19 0 0 0 0 0 13.881 138.816 0
37 1 20 0 0 0 0 0 7.70384 77.0418 0
37 2 0 0 0 0 0 0 9.91296 99.1444 0
37 2 1 0 0 0 0 0 17.9003 179.044 0
37 2 2 0 0 0 0 0 23.1375 231.468 0
37 2 3 0 0 0 0 0 25.9711 259.889 0
37 2 4 0 0 0 0 0 27.2564 272.858 0
37 2 5 0 0 0 0 0 27.753 277.944 0
37 2 6 0 0 0 0 0 27.9185 279.685 0
37 2 7 0 0 0 0 0 27.9655 280.168 0
37 2 8 0 0 0 0 0 27.9744 280.192 0
37 2 9 0 0 0 0 0 27.9722 280.051 0
37 2 10 0 0 0 0 0 27.9674 279.876 0
37 2 11 0 0 0 0 0 27.9629 279.731 0
37 2 12 0 0 0 0 0 27.9579 279.619 0
37 2 13 0 0 0 0 0 27.9451 279.463 0
37 2 14 0 0 0 0 0 27.8984 278.987 0
37 2 15 0 0 0 0 0 27.7363 277.365 0
37 2 16 0 0 0 0 0 27.2447 272.451 0
37 2 17 0 0 0 0 0 25.9641 259.647 0
37 2 18 0 0 0 0 0 23.134 231.346 0
37 2 19 0 0 0 0 0 17.8988 178.994 0
37 2 20 0 0 0 0 0 9.9125 99.1287 0
37 3 0 0 0 0 0 0 11.0896 110.939 0
37 3 1 0 0 0 0 0 20.0571 200.699 0
37 3 2 0 0 0 0 0 25.9764 260.074 0
37 3 3 0 0 0 0 0 29.2107 292.747 0
37 3 4 0 0 0 0 0 30.7 308.127 0
37 3 5 0 0 0 0 0 31.291 314.583 0
37 3 6 0 0 0 0 0 31.4969 317.055 0
37 3 7 0 0 0 0 0 31.555 317.727 0
37 3 8 0 0 0 0 0 31.5572 317.465 0
37 3 9 0 0 0 0 0 31.5386 316.746 0
