# x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
0 0 0 0 0 0 0 1.1153 22.7058 0
0 1 0 0 0 0 0 2.10353 41.8849 0
0 2 0 0 0 0 0 2.91472 56.5358 0
0 3 0 0 0 0 0 3.6008 68.9379 0
0 4 0 0 0 0 0 4.28089 83.4096 0
0 5 0 0 0 0 0 5.10702 105.145 0
0 6 0 0 0 0 0 6.32171 142.285 0
0 7 0 0 0 0 0 8.55889 216.421 0
0 8 0 0 0 0 0 11.3359 310.49 0
0 9 0 0 0 0 0 14.0537 403.456 0
0 10 0 0 0 0 0 15.1359 440.57 0
0 11 0 0 0 0 0 15.3817 449.422 0
0 12 0 0 0 0 0 15.948 470.131 0
0 13 0 0 0 0 0 16.6089 495.063 0
0 14 0 0 0 0 0 16.1848 483.687 0
0 15 0 0 0 0 0 12.7943 371.233 0
0 16 0 0 0 0 0 8.6569 234.878 0
0 17 0 0 0 0 0 5.00237 117.447 0
0 18 0 0 0 0 0 3.08708 62.4977 0
0 19 0 0 0 0 0 1.87083 33.8276 0
0 20 0 0 0 0 0 0.899558 15.2368 0
1 0 0 0 0 0 0 2.26073 47.3265 0
1 1 0 0 0 0 0 4.23287 86.3565 0
1 2 0 0 0 0 0 5.80946 114.802 0
1 3 0 0 0 0 0 7.11758 138 0
1 4 0 0 0 0 0 8.41596 165.284 0
1 5 0 0 0 0 0 9.98518 206.236 0
1 6 0 0 0 0 0 12.2119 273.742 0
1 7 0 0 0 0 0 16.1843 404.796 0
1 8 0 0 0 0 0 20.92 564.693 0
1 9 0 0 0 0 0 25.4075 717.859 0
1 10 0 0 0 0 0 26.999 772.262 0
1 11 0 0 0 0 0 27.6389 795.085 0
1 12 0 0 0 0 0 30.3765 892.012 0
1 13 0 0 0 0 0 48.1077 1509.81 0
1 14 0 0 0 0 0 48.7588 1538.8 0
1 15 0 0 0 0 0 41.5311 1298.19 0
1 16 0 0 0 0 0 17.8754 492.705 0
1 17 0 0 0 0 0 9.7657 229.652 0
1 18 0 0 0 0 0 5.92559 118.814 0
1 19 0 0 0 0 0 3.58151 63.8041 0
1 20 0 0 0 0 0 1.72368 28.7339 0
2 0 0 0 0 0 0 3.39178 73.0498 0
2 1 0 0 0 0 0 6.3002 131.79 0
2 2 0 0 0 0 0 8.56106 172.563 0
2 3 0 0 0 0 0 10.423 205.316 0
2 4 0 0 0 0 0 12.3212 245.654 0
2 5 0 0 0 0 0 14.6304 306.364 0
2 6 0 0 0 0 0 17.6503 397.109 0
2 7 0 0 0 0 0 22.6505 560.87 0
2 8 0 0 0 0 0 28.0894 743.3 0
2 9 0 0 0 0 0 32.967 908.977 0
2 10 0 0 0 0 0 34.1624 949.354 0
2 11 0 0 0 0 0 35.0893 982.419 0
2 12 0 0 0 0 0 40.4872 1172.41 0
2 13 0 0 0 0 0 65.6161 2048.09 0
2 14 0 0 0 0 0 68.1229 2144.19 0
2 15 0 0 0 0 0 57.8124 1801.08 0
2 16 0 0 0 0 0 25.7198 709.421 0
2 17 0 0 0 0 0 13.66 317.345 0
2 18 0 0 0 0 0 8.24102 161.471 0
2 19 0 0 0 0 0 4.99607 86.6398 0
2 20 0 0 0 0 0 2.41203 39.1319 0
3 0 0 0 0 0 0 4.34462 94.6864 0
3 1 0 0 0 0 0 8.03765 169.851 0
3 2 0 0 0 0 0 10.8835 221.258 0
3 3 0 0 0 0 0 13.293 264.808 0
3 4 0 0 0 0 0 16.0061 326.794 0
3 5 0 0 0 0 0 19.4444 421.57 0
3 6 0 0 0 0 0 23.5677 546.867 0
3 7 0 0 0 0 0 28.4342 703.484 0
3 8 0 0 0 0 0 32.6767 842.888 0
3 9 0 0 0 0 0 35.6878 943.056 0
3 10 0 0 0 0 0 36.2303 960.538 0
3 11 0 0 0 0 0 37.3874 1001.85 0
3 12 0 0 0 0 0 43.5617 1219.6 0
3 13 0 0 0 0 0 69.14 2112.45 0
3 14 0 0 0 0 0 71.6212 2210.18 0
3 15 0 0 0 0 0 61.152 1865.23 0
3 16 0 0 0 0 0 28.5192 759.893 0
3 17 0 0 0 0 0 15.9105 355.385 0
3 18 0 0 0 0 0 9.82516 184.606 0
3 19 0 0 0 0 0 6.03262 100.437 0
3 20 0 0 0 0 0 2.93177 45.7763 0
4 0 0 0 0 0 0 4.93485 106.049 0
4 1 0 0 0 0 0 9.14915 190.669 0
4 2 0 0 0 0 0 12.4628 250.564 0
4 3 0 0 0 0 0 15.4613 307.943 0
4 4 0 0 0 0 0 19.2789 402.855 0
4 5 0 0 0 0 0 25.5523 591.674 0
4 6 0 0 0 0 0 32.4853 811.201 0
4 7 0 0 0 0 0 38.4754 1004.57 0
4 8 0 0 0 0 0 39.8491 1043.24 0
4 9 0 0 0 0 0 39.126 1013.32 0
4 10 0 0 0 0 0 37.268 947.422 0
4 11 0 0 0 0 0 37.8397 968.719 0
4 12 0 0 0 0 0 41.911 1114.49 0
4 13 0 0 0 0 0 50.1419 1408.27 0
4 14 0 0 0 0 0 50.4072 1431.45 0
4 15 0 0 0 0 0 41.905 1157.64 0
4 16 0 0 0 0 0 26.5569 654.726 0
4 17 0 0 0 0 0 16.4132 340.857 0
4 18 0 0 0 0 0 10.6474 187.703 0
4 19 0 0 0 0 0 6.68972 105.526 0
4 20 0 0 0 0 0 3.28271 48.8559 0
5 0 0 0 0 0 0 5.06602 103.73 0
5 1 0 0 0 0 0 9.48033 188.77 0
5 2 0 0 0 0 0 13.1239 254.235 0
5 3 0 0 0 0 0 16.6891 326.229 0
5 4 0 0 0 0 0 21.7135 458.831 0
5 5 0 0 0 0 0 30.9958 748.599 0
5 6 0 0 0 0 0 57.2783 1635.48 0
5 7 0 0 0 0 0 64.6369 1874.4 0
5 8 0 0 0 0 0 63.4114 1821.8 0
5 9 0 0 0 0 0 43.0038 1109.69 0
5 10 0 0 0 0 0 39.2266 977.055 0
5 11 0 0 0 0 0 39.2929 981.103 0
5 12 0 0 0 0 0 40.6238 1032.79 0
5 13 0 0 0 0 0 40.4364 1036.48 0
5 14 0 0 0 0 0 37.3078 944.022 0
5 15 0 0 0 0 0 30.4793 730.611 0
5 16 0 0 0 0 0 22.6769 492.11 0
5 17 0 0 0 0 0 15.7984 295.361 0
5 18 0 0 0 0 0 10.9052 177.417 0
5 19 0 0 0 0 0 7.03967 104.281 0
5 20 0 0 0 0 0 3.49259 49.2639 0
6 0 0 0 0 0 0 4.84372 91.1291 0
6 1 0 0 0 0 0 9.19554 169.347 0
6 2 0 0 0 0 0 13.0066 236.403 0
6 3 0 0 0 0 0 16.9585 318.159 0
6 4 0 0 0 0 0 22.6391 470.478 0
6 5 0 0 0 0 0 33.9737 828.886 0
6 6 0 0 0 0 0 62.2772 1783.8 0
6 7 0 0 0 0 0 71.146 2073.44 0
6 8 0 0 0 0 0 68.5801 1973.21 0
6 9 0 0 0 0 0 46.9196 1216.82 0
6 10 0 0 0 0 0 43.016 1079.45 0
6 11 0 0 0 0 0 44.376 1128.49 0
6 12 0 0 0 0 0 44.4003 1135.84 0
6 13 0 0 0 0 0 40.306 1005.58 0
6 14 0 0 0 0 0 33.1553 775.538 0
6 15 0 0 0 0 0 25.8963 549.172 0
6 16 0 0 0 0 0 19.8862 375.135 0
6 17 0 0 0 0 0 14.9961 250.214 0
6 18 0 0 0 0 0 10.8787 162.744 0
6 19 0 0 0 0 0 7.19284 100.028 0
6 20 0 0 0 0 0 3.6037 48.209 0
7 0 0 0 0 0 0 4.47162 74.9441 0
7 1 0 0 0 0 0 8.62358 143.098 0
7 2 0 0 0 0 0 12.4502 207.836 0
7 3 0 0 0 0 0 16.488 290.083 0
7 4 0 0 0 0 0 22.0228 435.271 0
7 5 0 0 0 0 0 31.6601 733.209 0
7 6 0 0 0 0 0 58.0855 1621.68 0
7 7 0 0 0 0 0 65.493 1859.47 0
7 8 0 0 0 0 0 64.7103 1819.9 0
7 9 0 0 0 0 0 46.8993 1195.9 0
7 10 0 0 0 0 0 47.8109 1224.86 0
7 11 0 0 0 0 0 55.0076 1476.13 0
7 12 0 0 0 0 0 54.145 1453.61 0
7 13 0 0 0 0 0 46.5663 1203.9 0
7 14 0 0 0 0 0 32.9504 751.423 0
7 15 0 0 0 0 0 24.3188 479.017 0
7 16 0 0 0 0 0 18.664 319.006 0
7 17 0 0 0 0 0 14.4533 219.679 0
7 18 0 0 0 0 0 10.7921 150.469 0
7 19 0 0 0 0 0 7.24995 95.5725 0
7 20 0 0 0 0 0 3.65855 46.8114 0
8 0 0 0 0 0 0 4.14273 61.4968 0
8 1 0 0 0 0 0 8.08996 120.594 0
8 2 0 0 0 0 0 11.8393 180.854 0
8 3 0 0 0 0 0 15.7214 256.126 0
8 4 0 0 0 0 0 20.4498 372.046 0
8 5 0 0 0 0 0 27.3154 572.902 0
8 6 0 0 0 0 0 34.351 789.227 0
8 7 0 0 0 0 0 39.6866 954.426 0
8 8 0 0 0 0 0 40.9092 983.529 0
8 9 0 0 0 0 0 43.8539 1077.37 0
8 10 0 0 0 0 0 69.3345 1956.55 0
8 11 0 0 0 0 0 79.131 2297.94 0
8 12 0 0 0 0 0 94.4794 2837.2 0
8 13 0 0 0 0 0 48.0911 1244.92 0
8 14 0 0 0 0 0 32.5242 725.873 0
8 15 0 0 0 0 0 23.4476 439.054 0
8 16 0 0 0 0 0 18.0764 289.989 0
