#Tick x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
336 0 0 0 0 0 0 0 0.167786 2.88729 0
336 0 1 0 0 0 0 0 0.330178 5.66539 0
336 0 2 0 0 0 0 0 0.482152 8.23394 0
336 0 3 0 0 0 0 0 0.619379 10.5091 0
336 0 4 0 0 0 0 0 0.73849 12.4298 0
336 0 5 0 0 0 0 0 0.837298 13.9632 0
336 0 6 0 0 0 0 0 0.915009 15.1108 0
336 0 7 0 0 0 0 0 0.972451 15.9153 0
336 0 8 0 0 0 0 0 1.01233 16.4711 0
336 0 9 0 0 0 0 0 1.03959 16.9389 0
336 0 10 0 0 0 0 0 1.0619 17.5685 0
336 0 11 0 0 0 0 0 1.0906 18.7385 0
336 0 12 0 0 0 0 0 1.1425 21.0226 0
336 0 13 0 0 0 0 0 1.24339 25.316 0
336 0 14 0 0 0 0 0 1.43977 33.2394 0
336 0 15 0 0 0 0 0 1.76043 45.8032 0
336 0 16 0 0 0 0 0 2.18127 62.1818 0
336 0 17 0 0 0 0 0 2.54249 76.8393 0
336 0 18 0 0 0 0 0 2.62215 82.0666 0
336 0 19 0 0 0 0 0 2.20724 70.4414 0
336 0 20 0 0 0 0 0 1.27373 41.058 0
336 1 0 0 0 0 0 0 0.333289 5.7251 0
336 1 1 0 0 0 0 0 0.65618 11.2438 0
336 1 2 0 0 0 0 0 0.958974 16.3657 0
336 1 3 0 0 0 0 0 1.23327 20.9307 0
336 1 4 0 0 0 0 0 1.47239 24.8183 0
336 1 5 0 0 0 0 0 1.67178 27.9575 0
336 1 6 0 0 0 0 0 1.82932 30.3356 0
336 1 7 0 0 0 0 0 1.94584 32.0134 0
336 1 8 0 0 0 0 0 2.02575 33.1473 0
336 1 9 0 0 0 0 0 2.07797 34.0249 0
336 1 10 0 0 0 0 0 2.11709 35.1161 0
336 1 11 0 0 0 0 0 2.16513 37.1495 0
336 1 12 0 0 0 0 0 2.25466 41.2321 0
336 1 13 0 0 0 0 0 2.43489 49.0699 0
336 1 14 0 0 0 0 0 2.78942 63.5789 0
336 1 15 0 0 0 0 0 3.37627 86.7972 0
336 1 16 0 0 0 0 0 4.1556 117.367 0
336 1 17 0 0 0 0 0 4.84433 145.481 0
336 1 18 0 0 0 0 0 5.01398 156.26 0
336 1 19 0 0 0 0 0 4.24413 135.051 0
336 1 20 0 0 0 0 0 2.45845 79.0677 0
336 2 0 0 0 0 0 0 0.494337 8.46993 0
336 2 1 0 0 0 0 0 0.974146 16.6629 0
336 2 2 0 0 0 0 0 1.42588 24.324 0
336 2 3 0 0 0 0 0 1.83774 31.2355 0
336 2 4 0 0 0 0 0 2.20009 37.2274 0
336 2 5 0 0 0 0 0 2.50572 42.1823 0
336 2 6 0 0 0 0 0 2.75012 46.0444 0
336 2 7 0 0 0 0 0 2.93203 48.8319 0
336 2 8 0 0 0 0 0 3.05486 50.6772 0
336 2 9 0 0 0 0 0 3.12877 51.8998 0
336 2 10 0 0 0 0 0 3.17341 53.1156 0
336 2 11 0 0 0 0 0 3.22052 55.356 0
336 2 12 0 0 0 0 0 3.31717 60.2075 0
336 2 13 0 0 0 0 0 3.53179 70.035 0
336 2 14 0 0 0 0 0 3.97042 88.5432 0
336 2 15 0 0 0 0 0 4.71344 118.564 0
336 2 16 0 0 0 0 0 5.7132 158.487 0
336 2 17 0 0 0 0 0 6.61716 196.105 0
336 2 18 0 0 0 0 0 6.84367 211.216 0
336 2 19 0 0 0 0 0 5.80996 183.504 0
336 2 20 0 0 0 0 0 3.37363 107.821 0
