#Tick HealthyCells CancerCells OARCells
0 257 33 0
1 314 42 0
3 314 42 0
4 314 42 0
6 362 50 0
7 362 50 0
9 362 50 0
10 362 50 0
12 362 50 0
13 419 59 0
15 416 59 0
16 416 57 0
18 411 56 0
19 409 53 0
21 408 47 0
22 405 46 0
24 403 46 0
25 413 58 0
27 417 51 0
28 416 49 0
30 431 57 0
31 430 55 0
33 428 52 0
34 428 51 0
36 429 51 0
37 435 58 0
39 445 56 0
40 446 55 0
42 447 54 0
43 448 54 0
45 450 53 0
46 452 50 0
48 459 55 0
49 474 72 0
51 495 70 0
52 494 69 0
54 517 81 0
55 528 80 0
57 532 77 0
58 539 75 0
60 545 73 0
61 555 81 0
63 586 78 0
64 588 77 0
66 591 75 0
67 595 73 0
69 596 73 0
70 600 73 0
72 614 82 0
73 631 101 0
75 684 99 0
76 692 95 0
78 718 108 0
79 746 104 0
81 757 101 0
82 764 100 0
84 781 99 0
85 791 111 0
87 840 107 0
88 849 107 0
90 854 104 0
91 859 103 0
93 862 102 0
94 868 102 0
96 883 117 0
97 899 151 0
99 991 145 0
100 1019 144 0
102 1051 163 0
103 1095 159 0
105 1134 153 0
106 1142 152 0
108 1171 151 0
109 1182 177 0
111 1259 171 0
112 1290 170 0
114 1302 165 0
115 1309 165 0
117 1323 162 0
118 1329 161 0
120 1356 180 0
121 1374 232 0
123 1496 224 0
124 1567 222 0
126 1634 252 0
127 1688 249 0
129 1810 245 0
130 1827 242 0
132 1869 236 0
133 1892 276 0
135 1982 275 0
136 2044 274 0
138 2095 271 0
139 2104 269 0
141 2123 268 0
142 2134 265 0
144 2169 294 0
145 2190 390 0
147 2332 378 0
148 2460 372 0
150 2586 423 0
