#Tick x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
75 0 0 0 0 0 0 0 1.61435 18.9668 0
75 0 1 0 0 0 0 0 3.06264 35.779 0
75 0 2 0 0 0 0 0 4.22631 48.8858 0
75 0 3 0 0 0 0 0 5.06185 57.7533 0
75 0 4 0 0 0 0 0 5.60008 62.9597 0
75 0 5 0 0 0 0 0 5.92103 65.8964 0
75 0 6 0 0 0 0 0 6.11755 68.1601 0
75 0 7 0 0 0 0 0 6.26009 70.7887 0
75 0 8 0 0 0 0 0 6.37927 73.8441 0
75 0 9 0 0 0 0 0 6.4693 76.52 0
75 0 10 0 0 0 0 0 6.51258 77.9013 0
75 0 11 0 0 0 0 0 6.50311 77.6896 0
75 0 12 0 0 0 0 0 6.46165 76.6943 0
75 0 13 0 0 0 0 0 6.43519 76.8483 0
75 0 14 0 0 0 0 0 6.498 81.3283 0
75 0 15 0 0 0 0 0 6.76028 94.9464 0
75 0 16 0 0 0 0 0 7.41441 125.763 0
75 0 17 0 0 0 0 0 8.99384 193.86 0
75 0 18 0 0 0 0 0 13.9939 386.996 0
75 0 19 0 0 0 0 0 39.2711 1289.15 0
75 0 20 0 0 0 0 0 35.4759 1191.1 0
75 1 0 0 0 0 0 0 3.16265 39.2408 0
75 1 1 0 0 0 0 0 5.99698 73.9309 0
75 1 2 0 0 0 0 0 8.264 100.649 0
75 1 3 0 0 0 0 0 9.87167 118.067 0
75 1 4 0 0 0 0 0 10.8847 127.512 0
75 1 5 0 0 0 0 0 11.4912 132.885 0
75 1 6 0 0 0 0 0 11.91 138.696 0
75 1 7 0 0 0 0 0 12.2993 147.753 0
75 1 8 0 0 0 0 0 12.6656 158.375 0
75 1 9 0 0 0 0 0 12.9245 166.488 0
75 1 10 0 0 0 0 0 12.9769 168.077 0
75 1 11 0 0 0 0 0 12.8377 163.483 0
75 1 12 0 0 0 0 0 12.6 156.102 0
75 1 13 0 0 0 0 0 12.4112 151.62 0
75 1 14 0 0 0 0 0 12.4124 156.085 0
75 1 15 0 0 0 0 0 12.7779 177.422 0
75 1 16 0 0 0 0 0 13.772 227.456 0
75 1 17 0 0 0 0 0 16.0157 330.744 0
75 1 18 0 0 0 0 0 21.7631 567.926 0
75 1 19 0 0 0 0 0 46.6568 1481.39 0
75 1 20 0 0 0 0 0 40.2169 1321.89 0
75 2 0 0 0 0 0 0 4.66794 64.1728 0
75 2 1 0 0 0 0 0 8.84701 120.83 0
75 2 2 0 0 0 0 0 12.1587 163.58 0
75 2 3 0 0 0 0 0 14.4376 189.29 0
75 2 4 0 0 0 0 0 15.7837 200.192 0
75 2 5 0 0 0 0 0 16.5697 205.596 0
75 2 6 0 0 0 0 0 17.5387 226.983 0
75 2 7 0 0 0 0 0 18.8049 264.614 0
75 2 8 0 0 0 0 0 20.2373 311.303 0
75 2 9 0 0 0 0 0 20.7778 328.816 0
75 2 10 0 0 0 0 0 20.4709 317.875 0
75 2 11 0 0 0 0 0 19.3995 281.103 0
75 2 12 0 0 0 0 0 18.3917 247.412 0
75 2 13 0 0 0 0 0 17.6341 224.078 0
75 2 14 0 0 0 0 0 17.3384 220.045 0
75 2 15 0 0 0 0 0 17.544 239.319 0
75 2 16 0 0 0 0 0 18.4053 290.937 0
75 2 17 0 0 0 0 0 20.1743 387.871 0
75 2 18 0 0 0 0 0 23.3594 551.296 0
75 2 19 0 0 0 0 0 23.4889 627.663 0
75 2 20 0 0 0 0 0 15.9424 454.441 0
75 3 0 0 0 0 0 0 6.35292 102.444 0
75 3 1 0 0 0 0 0 12.0413 193.169 0
75 3 2 0 0 0 0 0 16.4751 259.82 0
75 3 3 0 0 0 0 0 19.302 293.35 0
75 3 4 0 0 0 0 0 20.6796 297.767 0
75 3 5 0 0 0 0 0 21.3229 293.546 0
75 3 6 0 0 0 0 0 23.0332 337.941 0
75 3 7 0 0 0 0 0 35.4597 760.509 0
75 3 8 0 0 0 0 0 40.1144 918.085 0
75 3 9 0 0 0 0 0 42.4068 995.958 0
75 3 10 0 0 0 0 0 31.7479 626.601 0
75 3 11 0 0 0 0 0 27.623 484.206 0
75 3 12 0 0 0 0 0 23.8733 355.884 0
75 3 13 0 0 0 0 0 22.0106 294.954 0
75 3 14 0 0 0 0 0 21.1226 271.796 0
75 3 15 0 0 0 0 0 20.916 279.457 0
75 3 16 0 0 0 0 0 21.2635 317.978 0
75 3 17 0 0 0 0 0 21.9171 383.87 0
75 3 18 0 0 0 0 0 21.8836 447.038 0
75 3 19 0 0 0 0 0 18.9529 432.418 0
75 3 20 0 0 0 0 0 11.3917 276.863 0
75 4 0 0 0 0 0 0 8.86229 175.882 0
75 4 1 0 0 0 0 0 16.9101 336.081 0
75 4 2 0 0 0 0 0 22.8827 445.927 0
75 4 3 0 0 0 0 0 26.0528 483.763 0
75 4 4 0 0 0 0 0 26.5498 452.514 0
75 4 5 0 0 0 0 0 26.1451 408.769 0
75 4 6 0 0 0 0 0 28.0954 459.605 0
