#Tick x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
336 0 0 0 0 0 0 0 0.622558 15.6479 0
336 0 1 0 0 0 0 0 1.23781 31.0015 0
336 0 2 0 0 0 0 0 1.84151 46.0115 0
336 0 3 0 0 0 0 0 2.42527 60.6027 0
336 0 4 0 0 0 0 0 2.97014 74.4354 0
336 0 5 0 0 0 0 0 3.44911 86.8773 0
336 0 6 0 0 0 0 0 3.85079 97.7593 0
336 0 7 0 0 0 0 0 4.23081 109.067 0
336 0 8 0 0 0 0 0 4.65521 123.212 0
336 0 9 0 0 0 0 0 5.15134 141.201 0
336 0 10 0 0 0 0 0 5.56027 157.709 0
336 0 11 0 0 0 0 0 5.68284 165.402 0
336 0 12 0 0 0 0 0 5.35102 157.957 0
336 0 13 0 0 0 0 0 4.63143 136.983 0
336 0 14 0 0 0 0 0 3.70238 108.462 0
336 0 15 0 0 0 0 0 2.79423 80.316 0
336 0 16 0 0 0 0 0 2.03569 57.1083 0
336 0 17 0 0 0 0 0 1.45718 39.9546 0
336 0 18 0 0 0 0 0 1.01432 27.3608 0
336 0 19 0 0 0 0 0 0.648227 17.3243 0
336 0 20 0 0 0 0 0 0.317688 8.45484 0
336 1 0 0 0 0 0 0 1.21353 30.0899 0
336 1 1 0 0 0 0 0 2.40912 59.4117 0
336 1 2 0 0 0 0 0 3.57828 87.8595 0
336 1 3 0 0 0 0 0 4.70721 115.442 0
336 1 4 0 0 0 0 0 5.75798 141.53 0
336 1 5 0 0 0 0 0 6.65706 163.895 0
336 1 6 0 0 0 0 0 7.39982 183.467 0
336 1 7 0 0 0 0 0 8.04699 202.212 0
336 1 8 0 0 0 0 0 8.67685 222.293 0
336 1 9 0 0 0 0 0 9.42607 250.098 0
336 1 10 0 0 0 0 0 10.0145 274.692 0
336 1 11 0 0 0 0 0 10.2481 291.115 0
336 1 12 0 0 0 0 0 9.7016 280.592 0
336 1 13 0 0 0 0 0 8.51873 248.481 0
336 1 14 0 0 0 0 0 6.91141 200.184 0
336 1 15 0 0 0 0 0 5.30111 151.013 0
336 1 16 0 0 0 0 0 3.92751 109.541 0
336 1 17 0 0 0 0 0 2.85221 78.0234 0
336 1 18 0 0 0 0 0 2.00635 54.1591 0
336 1 19 0 0 0 0 0 1.29105 34.6031 0
336 1 20 0 0 0 0 0 0.635204 16.9745 0
336 2 0 0 0 0 0 0 1.74255 42.2437 0
336 2 1 0 0 0 0 0 3.45037 82.9614 0
336 2 2 0 0 0 0 0 5.10735 121.833 0
336 2 3 0 0 0 0 0 6.68794 158.604 0
336 2 4 0 0 0 0 0 8.15399 193.411 0
