#Tick x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
168 0 0 0 0 0 0 0 0.382052 7.81072 0
168 0 1 0 0 0 0 0 0.799807 16.8485 0
168 0 2 0 0 0 0 0 1.3139 29.1893 0
168 0 3 0 0 0 0 0 2.04222 48.8682 0
168 0 4 0 0 0 0 0 3.22603 84.173 0
168 0 5 0 0 0 0 0 5.43171 154.721 0
168 0 6 0 0 0 0 0 10.3236 318.255 0
168 0 7 0 0 0 0 0 15.6066 495.621 0
168 0 8 0 0 0 0 0 19.5055 625.882 0
168 0 9 0 0 0 0 0 18.2447 578.786 0
168 0 10 0 0 0 0 0 15.552 483.844 0
168 0 11 0 0 0 0 0 12.7572 387.353 0
168 0 12 0 0 0 0 0 11.5205 346.926 0
168 0 13 0 0 0 0 0 9.85386 293.487 0
168 0 14 0 0 0 0 0 7.61606 221.489 0
168 0 15 0 0 0 0 0 5.35488 149.268 0
168 0 16 0 0 0 0 0 3.56374 93.4621 0
168 0 17 0 0 0 0 0 2.33884 57.2644 0
168 0 18 0 0 0 0 0 1.52159 35.0759 0
168 0 19 0 0 0 0 0 0.933693 20.6897 0
168 0 20 0 0 0 0 0 0.448207 9.73129 0
168 1 0 0 0 0 0 0 0.776367 16.1942 0
168 1 1 0 0 0 0 0 1.60484 34.1701 0
168 1 2 0 0 0 0 0 2.58229 57.2272 0
168 1 3 0 0 0 0 0 3.89885 91.8253 0
168 1 4 0 0 0 0 0 5.91677 150.346 0
168 1 5 0 0 0 0 0 9.38205 258.587 0
168 1 6 0 0 0 0 0 15.9115 472.594 0
168 1 7 0 0 0 0 0 22.9309 703.975 0
168 1 8 0 0 0 0 0 28.0421 870.22 0
168 1 9 0 0 0 0 0 27.3506 839.119 0
168 1 10 0 0 0 0 0 24.6425 742.064 0
168 1 11 0 0 0 0 0 21.5756 637.335 0
168 1 12 0 0 0 0 0 19.6983 577.361 0
168 1 13 0 0 0 0 0 16.9354 490.167 0
168 1 14 0 0 0 0 0 13.2554 373.793 0
168 1 15 0 0 0 0 0 9.52168 256.797 0
168 1 16 0 0 0 0 0 6.52114 165.687 0
