#Tick x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
168 0 0 0 0 0 0 0 0.236707 3.67555 0
168 0 1 0 0 0 0 0 0.465187 7.16925 0
168 0 2 0 0 0 0 0 0.677655 10.3111 0
168 0 3 0 0 0 0 0 0.867182 12.9541 0
168 0 4 0 0 0 0 0 1.0281 14.9853 0
168 0 5 0 0 0 0 0 1.15645 16.3391 0
168 0 6 0 0 0 0 0 1.25037 17.0095 0
168 0 7 0 0 0 0 0 1.31031 17.0566 0
168 0 8 0 0 0 0 0 1.3388 16.5983 0
168 0 9 0 0 0 0 0 1.3397 15.7864 0
168 0 10 0 0 0 0 0 1.31721 14.7724 0
168 0 11 0 0 0 0 0 1.27489 13.6759 0
168 0 12 0 0 0 0 0 1.21508 12.5672 0
168 0 13 0 0 0 0 0 1.13891 11.4661 0
168 0 14 0 0 0 0 0 1.04658 10.3543 0
168 0 15 0 0 0 0 0 0.937961 9.19411 0
168 0 16 0 0 0 0 0 0.813135 7.94561 0
168 0 17 0 0 0 0 0 0.67278 6.5793 0
168 0 18 0 0 0 0 0 0.518429 5.08363 0
168 0 19 0 0 0 0 0 0.35254 3.46751 0
168 0 20 0 0 0 0 0 0.178415 1.75884 0
168 1 0 0 0 0 0 0 0.463861 7.09554 0
168 1 1 0 0 0 0 0 0.911678 13.8396 0
168 1 2 0 0 0 0 0 1.3283 19.9051 0
168 1 3 0 0 0 0 0 1.70028 25.0114 0
168 1 4 0 0 0 0 0 2.01669 28.9459 0
168 1 5 0 0 0 0 0 2.26986 31.5872 0
168 1 6 0 0 0 0 0 2.4562 32.9268 0
168 1 7 0 0 0 0 0 2.57644 33.0794 0
168 1 8 0 0 0 0 0 2.63525 32.2665 0
168 1 9 0 0 0 0 0 2.63984 30.7718 0
168 1 10 0 0 0 0 0 2.59809 28.8785 0
168 1 11 0 0 0 0 0 2.51672 26.8109 0
168 1 12 0 0 0 0 0 2.40026 24.7009 0
168 1 13 0 0 0 0 0 2.2509 22.586 0
168 1 14 0 0 0 0 0 2.06914 20.4318 0
168 1 15 0 0 0 0 0 1.85484 18.1669 0
168 1 16 0 0 0 0 0 1.60824 15.7154 0
168 1 17 0 0 0 0 0 1.33077 13.0221 0
168 1 18 0 0 0 0 0 1.02552 10.0665 0
168 1 19 0 0 0 0 0 0.69739 6.86827 0
168 1 20 0 0 0 0 0 0.352944 3.48438 0
168 2 0 0 0 0 0 0 0.674109 10.0741 0
168 2 1 0 0 0 0 0 1.3252 19.652 0
168 2 2 0 0 0 0 0 1.93155 28.2745 0
168 2 3 0 0 0 0 0 2.47398 35.5517 0
168 2 4 0 0 0 0 0 2.93687 41.1923 0
168 2 5 0 0 0 0 0 3.30925 45.032 0
168 2 6 0 0 0 0 0 3.58573 47.0602 0
168 2 7 0 0 0 0 0 3.76693 47.4308 0
168 2 8 0 0 0 0 0 3.85891 46.4415 0
168 2 9 0 0 0 0 0 3.87137 44.4748 0
168 2 10 0 0 0 0 0 3.81511 41.9152 0
168 2 11 0 0 0 0 0 3.69956 39.0707 0
168 2 12 0 0 0 0 0 3.53123 36.1248 0
168 2 13 0 0 0 0 0 3.31342 33.131 0
168 2 14 0 0 0 0 0 3.04708 30.0432 0
168 2 15 0 0 0 0 0 2.7322 26.7621 0
168 2 16 0 0 0 0 0 2.36934 23.182 0
168 2 17 0 0 0 0 0 1.96074 19.2273 0
168 2 18 0 0 0 0 0 1.51106 14.8727 0
168 2 19 0 0 0 0 0 1.0276 10.1515 0
168 2 20 0 0 0 0 0 0.520065 5.15112 0
168 3 0 0 0 0 0 0 0.863865 12.5433 0
168 3 1 0 0 0 0 0 1.69903 24.4844 0
168 3 2 0 0 0 0 0 2.47847 35.269 0
168 3 3 0 0 0 0 0 3.17819 44.4302 0
168 3 4 0 0 0 0 0 3.77851 51.6183 0
168 3 5 0 0 0 0 0 4.26516 56.6299 0
168 3 6 0 0 0 0 0 4.6304 59.4348 0
168 3 7 0 0 0 0 0 4.87373 60.1922 0
168 3 8 0 0 0 0 0 5.00147 59.2344 0
168 3 9 0 0 0 0 0 5.02492 57.0061 0
168 3 10 0 0 0 0 0 4.95737 53.9697 0
168 3 11 0 0 0 0 0 4.81091 50.5077 0
168 3 12 0 0 0 0 0 4.59427 46.8565 0
168 3 13 0 0 0 0 0 4.31216 43.0923 0
