episode,reward,epsilon_start,epsilon_end,mean_loss
1,0.7114833333333334,1.0,0.9998385,nan
2,-1.0097200000000002,0.999829,0.9993635,nan
3,-1.1372000000000002,0.999354,0.9988885,nan
4,-1.0355099999999997,0.998879,0.9984135,nan
5,-1.12665,0.998404,0.9979385,nan
6,-1.0074499999999997,0.997929,0.9974635,nan
7,-1.1422199999999998,0.997454,0.9969885,nan
8,-0.9836900000000002,0.996979,0.9965135,nan
9,-1.2151799999999997,0.996504,0.9960385,nan
10,-1.0418799999999997,0.996029,0.9955635,nan
11,-1.0216899999999998,0.995554,0.9950885,nan
12,-1.0359199999999997,0.995079,0.9946135,nan
13,-1.15627,0.994604,0.9941385,nan
14,-1.0835899999999996,0.994129,0.9936635,nan
15,-1.1466799999999997,0.993654,0.9931885,nan
16,-1.1121100000000002,0.993179,0.9927135,nan
17,-1.0997599999999998,0.992704,0.9922385,nan
18,-1.0978299999999996,0.992229,0.9917635,nan
19,-1.0647099999999998,0.991754,0.9912885,nan
20,-1.1050200000000003,0.991279,0.9908135,nan
21,-1.16821,0.990804,0.9903385,nan
22,-1.04536,0.990329,0.9898635,nan
23,-1.1069,0.989854,0.9893885,nan
24,-1.0485,0.989379,0.9889135,nan
25,-0.9980700000000001,0.988904,0.9884385,nan
26,-1.1067900000000002,0.988429,0.9879635,nan
27,-1.17207,0.987954,0.9874885,nan
28,-0.9949000000000001,0.987479,0.9870135,nan
29,0.14206000000000002,0.986738,0.986662,nan
30,-1.13368,0.9866525,0.986187,nan
31,-1.08767,0.9861775,0.985712,nan
32,0.7841566666666666,0.9853985,0.9851800000000001,nan
33,-1.0622699999999998,0.9851705,0.984705,nan
34,-1.1605899999999996,0.9846955,0.98423,nan
35,-0.9845199999999997,0.9842205,0.983755,nan
36,-1.0088599999999999,0.9837455,0.98328,nan
37,-1.0343699999999998,0.9832705,0.982805,nan
38,-1.0166899999999999,0.9827955,0.98233,nan
39,-1.06933,0.9823205,0.981855,nan
40,-1.1925500000000004,0.9818455,0.98138,nan
41,-1.2035599999999995,0.9813705,0.980905,nan
42,-1.0352799999999998,0.9808955,0.98043,nan
43,-0.9686700000000001,0.9804205,0.979955,nan
44,-1.0753599999999999,0.9799455,0.97948,nan
45,-1.1655,0.9794705,0.979005,nan
46,-1.1153599999999995,0.9789955,0.97853,nan
47,-1.17034,0.9785205,0.978055,nan
48,-0.9988699999999999,0.9780455,0.97758,nan
49,-1.0838899999999996,0.9775705,0.977105,nan
50,-1.02379,0.9770955,0.97663,nan
51,-1.2192600000000002,0.9766205,0.976155,nan
52,-1.0424900000000001,0.9761455,0.97568,nan
53,-1.0950999999999997,0.9756705,0.975205,nan
54,-1.13319,0.9751955,0.97473,nan
55,-1.0856299999999999,0.9747205,0.974255,nan
56,-1.06563,0.9742455,0.97378,nan
57,-1.14979,0.9737705,0.973305,nan
58,-0.9260100000000002,0.9732955,0.97283,nan
59,-1.16703,0.9728205,0.972355,nan
60,-1.0909399999999998,0.9723455,0.97188,nan
61,-1.17723,0.9718705,0.971405,nan
62,-1.0861799999999995,0.9713955,0.97093,nan
63,-1.1721299999999995,0.9709205,0.970455,nan
64,-1.0826600000000002,0.9704455,0.96998,nan
65,-1.05824,0.9699705,0.9695050000000001,nan
66,-1.05931,0.9694955,0.9690300000000001,nan
67,-1.1448499999999997,0.9690205,0.968555,nan
68,-1.0578899999999998,0.9685455000000001,0.96808,nan
69,-0.95959,0.9680705000000001,0.967605,nan
70,-1.0447100000000002,0.9675955,0.96713,nan
71,-1.1438999999999995,0.9671205,0.966655,nan
72,-1.12397,0.9666455,0.96618,nan
73,-1.10577,0.9661705,0.965705,nan
74,-1.0433800000000002,0.9656955,0.96523,nan
75,-1.1185799999999997,0.9652205,0.964755,nan
76,-1.0950299999999995,0.9647455,0.96428,nan
77,-1.1597000000000004,0.9642705,0.963805,nan
78,-1.12407,0.9637955,0.96333,nan
79,-1.1412099999999998,0.9633205,0.962855,nan
80,-1.08455,0.9628455,0.96238,nan
81,-1.1881599999999997,0.9623705,0.961905,nan
82,-0.9936199999999996,0.9618955,0.96143,nan
83,-1.1686499999999997,0.9614205,0.960955,nan
84,-1.1563099999999997,0.9609455,0.96048,nan
85,-1.25377,0.9604705,0.960005,nan
